612754,1,1,375000.06,emessner@sussewurst.com
697342,15,6,170000.3,srosecreek@sussewurst.com
942437,2,1,285000.99,mrussell@sussewurst.com
160790,3,8,94750.56,cmikkelson@sussewurst.com
938859,22,10,100114.32,iquobach@sussewurst.com
592100,21,10,88745.1,dwitter@sussewurst.com
625494,38,64,88472.55,ldavis@sussewurst.com
831942,4,8,74575.07,spaulson@sussewurst.com
860735,16,6,155487.54,mpollack@sussewurst.com
334595,9,2,74841.93,jkapsner@sussewurst.com
376139,29,4,113119.2,csmith@sussewurst.com
314919,7,2,77850.78,rzimmerman@sussewurst.com
445066,38,59,85678.43,jsutherland@sussewurst.com
485191,39,63,78425.93,nhurley@sussewurst.com
782646,47,71,73541.26,agoldswain@sussewurst.com
116359,4,8,74280.88,aharrison@sussewurst.com
713195,35,1,98631.74,jdeschler@sussewurst.com
402889,33,5,89750.06,jlazzari@sussewurst.com
363835,40,64,80204.9,acrane@sussewurst.com
175981,54,36,24.36,marvins96@hooray.co
715343,23,10,87433.04,aakashita@sussewurst.com
636477,46,46,68871.24,sleeper@sussewurst.com
402010,43,40,71532.72,sdalton@sussewurst.com
342700,47,69,70618.91,jkaiser@sussewurst.com
471602,47,67,67739.18,acezanne@sussewurst.com
690775,4,8,74130.59,arenecki@sussewurst.com
844145,35,1,97844.26,rparker@sussewurst.com
813948,63,72,20.13,mariawaldrop686@fastmail.fm
673200,19,7,98451.12,acappini@sussewurst.com
296477,25,3,115791.25,amadison@sussewurst.com
415673,38,62,86375.19,gsproles@sussewurst.com
506055,41,55,82832.03,bdukov@sussewurst.com
768402,17,6,85436.76,tfrazier@sussewurst.com
605276,44,32,67361.55,kjohnson@sussewurst.com
160240,64,60,20.62,marcobuchinsky365@iou.io
342434,39,64,76784.7,bgarland@sussewurst.com
800764,63,68,21.27,thomasschoneberg408@planetmail.co
440095,10,9,100250.32,sdittrich@sussewurst.com
413223,28,3,94116.75,rsankko@sussewurst.com
377566,46,48,69766.79,asteward@sussewurst.com
365290,38,60,87235.69,dmorrow@sussewurst.com
304728,52,43,24.1,bronwynh06@iou.io
672388,26,3,97350.39,dmccaine@sussewurst.com
648994,44,31,70319.48,rgaehle@sussewurst.com
354581,49,64,23.67,rneumann@swiftsend.com
489552,27,3,92366.87,gcrossier@sussewurst.com
403542,49,63,23.89,diehl_lama277@swiftsend.com
697405,54,36,24.16,stephanie.derosa97@hooray.co
331826,44,29,67077.27,mhorton@sussewurst.com
618412,34,5,69450.28,hbenson@sussewurst.com
235444,41,52,79111.6,nmercurio@sussewurst.com
379887,38,61,85467.59,arippe@sussewurst.com
962021,49,60,23.54,dee_oneill@iou.io
690870,64,59,21.45,margo_sullivan_13@hooray.co
537985,64,63,21.42,albert_culley_45@fastmail.fm
561458,52,48,24.24,deborahh97@fastmail.fm
793605,55,64,21.29,raelenemitchell729@hooray.co
287098,63,72,20.22,gordonbadeau633@hooray.co
391307,64,64,20.48,andy_sessler_28@planetmail.co
809112,48,16,68039.1,waarons@sussewurst.com
334988,46,43,66036.49,awillems@sussewurst.com
230081,49,64,22.74,calvin_southton@iou.io
891875,49,59,23.01,dmorgan@fastmail.fm
883727,48,14,65991.78,gpoole@sussewurst.com
495755,35,1,95725.48,gthompsongern@sussewurst.com
581931,59,19,19.94,blane_stain@fastmail.fm
314168,64,59,20.45,pickle_lick79@fastmail.fm
189015,12,9,95750.65,lstewart@sussewurst.com
379003,45,20,64344.15,gwolsky@sussewurst.com
838878,64,63,20.45,j.gaulding@planetmail.co
260284,49,65,22.66,will_moss@plutomail.io
208324,38,63,85771.95,cpowers@sussewurst.com
640629,58,13,20.12,c.miller@iou.io
813483,49,61,22.48,archie_strauss@hooray.co
816369,47,68,66664.72,grukin@sussewurst.com
686383,41,54,80314.73,jrobinson@sussewurst.com
229195,52,47,22.88,chaset98@fastmail.fm
501145,39,60,76399.92,suster@sussewurst.com
